,Ticker,Spent,Profit,Percent,K
0, ATVI,  74.200,  20.260,  27.305, 0.5
1, ADBE,   0.000,   0.000,   0.000, 0.5
2, AKAM,  52.800,   0.000,   0.000, 0.5
3, ALXN, 366.280,  25.440,   6.946, 0.5
4, GOOG,   0.000,   0.000,   0.000, 0.5
5,GOOGL,   0.000,   0.000,   0.000, 0.5
6, AMZN,   0.000,   0.000,   0.000, 0.5
7,  AAL,   0.000,   0.000,   0.000, 0.5
8, AMGN, 453.250,  49.340,  10.886, 0.5
9,  ADI,   0.000,   0.000,   0.000, 0.5
10, AAPL,   0.000,   0.000,   0.000, 0.5
11, AMAT,   0.000,   0.000,   0.000, 0.5
12, ADSK,   0.000,   0.000,   0.000, 0.5
13,  ADP,   0.000,   0.000,   0.000, 0.5
14, BIDU, 163.620,  16.690,  10.200, 0.5
15, BIIB,1369.530,   0.000,   0.000, 0.5
16, BMRN, 340.010,  27.950,   8.220, 0.5
17, AVGO,   0.000,   0.000,   0.000, 0.5
18,   CA, 190.520,   0.000,   0.000, 0.5
19, CELG,   0.000,   0.000,   0.000, 0.5
20, CERN, 153.140,  27.040,  17.657, 0.5
21, CHTR,   0.000,   0.000,   0.000, 0.5
22, CHKP,   0.000,   0.000,   0.000, 0.5
23, CTAS,   0.000,   0.000,   0.000, 0.5
24, CSCO,   0.000,   0.000,   0.000, 0.5
25, CTXS,   0.000,   0.000,   0.000, 0.5
26, CTSH,  53.660,   4.470,   8.330, 0.5
27,CMCSA,   0.000,   0.000,   0.000, 0.5
28, COST,   0.000,   0.000,   0.000, 0.5
29,  CSX,   0.000,   0.000,   0.000, 0.5
30, CTRP,  82.480,   7.420,   8.996, 0.5
31, XRAY,  59.240,   3.440,   5.807, 0.5
32,DISCA,  26.110,   0.000,   0.000, 0.5
33,DISCK,  25.450,   0.000,   0.000, 0.5
34, DISH,   0.000,   0.000,   0.000, 0.5
35, DLTR, 157.160,   0.000,   0.000, 0.5
36, EBAY,   0.000,   0.000,   0.000, 0.5
37,   EA,   0.000,   0.000,   0.000, 0.5
38, EXPE,   0.000,   0.000,   0.000, 0.5
39, ESRX, 352.180,   0.000,   0.000, 0.5
40,   FB, 116.920,   7.980,   6.825, 0.5
41, FAST,  42.300,   0.000,   0.000, 0.5
42, FISV,   0.000,   0.000,   0.000, 0.5
43, GILD,  73.640,   0.000,   0.000, 0.5
44,  HAS, 159.870,  19.610,  12.266, 0.5
45, HSIC, 470.330,  48.700,  10.354, 0.5
46, HOLX,   0.000,   0.000,   0.000, 0.5
47, IDXX,   0.000,   0.000,   0.000, 0.5
48, ILMN, 128.750,  36.290,  28.186, 0.5
49, INCY,   0.000,   0.000,   0.000, 0.5
