,Ticker,Spent,Profit,Percent,K
0, AAPL,   0.000,   0.000,   0.000, 1.0
1, MSFT,   0.000,   0.000,   0.000, 1.0
2, GOOG,   0.000,   0.000,   0.000, 1.0
3, CSCO,   0.000,   0.000,   0.000, 1.0
4, ORCL,  77.620,   4.560,   5.875, 1.0
5, INTC,   0.000,   0.000,   0.000, 1.0
6, QCOM, 165.720,   0.000,   0.000, 1.0
7, AMZN,   0.000,   0.000,   0.000, 1.0
8, EBAY,   0.000,   0.000,   0.000, 1.0
9, COST,   0.000,   0.000,   0.000, 1.0
10, NVDA,   0.000,   0.000,   0.000, 1.0
11, SPLS,   0.000,   0.000,   0.000, 1.0
12,  UAL,   0.000,   0.000,   0.000, 1.0
13, YHOO,   0.000,   0.000,   0.000, 1.0
14, ZNGA,   5.020,   0.760,  15.139, 1.0
15, AVGO,   0.000,   0.000,   0.000, 1.0
16, MNKD,   5.430,   0.000,   0.000, 1.0
