,Ticker,Profit,Percent,K
0, AAPL,  44.270,  23.690, 1.5
1, MSFT,   0.000,   0.000, 1.5
2, GOOG,   0.000,   0.000, 1.5
3, CSCO,   0.000,   0.000, 1.5
4, ORCL,   0.000,   0.000, 1.5
5, INTC,   0.000,   0.000, 1.5
6, QCOM,   0.000,   0.000, 1.5
7, AMZN,   0.000,   0.000, 1.5
8, EBAY,   0.000,   0.000, 1.5
9, COST,  48.320,  17.042, 1.5
10, NVDA,   0.000,   0.000, 1.5
11, SPLS,   3.420,  21.085, 1.5
12,  UAL,  41.100,  30.560, 1.5
13, YHOO,   0.000,   0.000, 1.5
