,Ticker,Spent,Profit,Percent,K
0, AAPL, 489.380,  69.470,  14.196, 1.0
1, MSFT,  48.430,   7.480,  15.445, 1.0
2, GOOG, 668.260, 100.530,  15.044, 1.0
3, CSCO,   0.000,   0.000,   0.000, 1.0
4, ORCL, 154.890,   9.470,   6.114, 1.0
5, INTC,   0.000,   0.000,   0.000, 1.0
6, QCOM, 165.720,   0.000,   0.000, 1.0
7, AMZN,   0.000,   0.000,   0.000, 1.0
8, EBAY,  70.850,  18.940,  26.733, 1.0
9, COST, 582.250,  72.070,  12.378, 1.0
10, NVDA,   0.000,   0.000,   0.000, 1.0
11, SPLS,  95.730,   8.550,   8.931, 1.0
12,  UAL, 141.000,  25.320,  17.957, 1.0
13, YHOO,   0.000,   0.000,   0.000, 1.0
14, ZNGA,  11.680,   1.960,  16.781, 1.0
15, AVGO,   0.000,   0.000,   0.000, 1.0
16, MNKD,  29.130,   0.000,   0.000, 1.0
