,Ticker,Spent,Profit,Percent,K
0, ATVI,   0.000,   0.000,   0.000, 1.5
1, ADBE,   0.000,   0.000,   0.000, 1.5
2, AKAM,  50.170,   0.000,   0.000, 1.5
3, ALXN, 346.930,   0.000,   0.000, 1.5
4, GOOG,   0.000,   0.000,   0.000, 1.5
5,GOOGL,   0.000,   0.000,   0.000, 1.5
6, AMZN,   0.000,   0.000,   0.000, 1.5
7,  AAL,   0.000,   0.000,   0.000, 1.5
8, AMGN,   0.000,   0.000,   0.000, 1.5
9,  ADI,   0.000,   0.000,   0.000, 1.5
10, AAPL,   0.000,   0.000,   0.000, 1.5
11, AMAT,   0.000,   0.000,   0.000, 1.5
12, ADSK,   0.000,   0.000,   0.000, 1.5
13,  ADP,   0.000,   0.000,   0.000, 1.5
14, BIDU,   0.000,   0.000,   0.000, 1.5
15, BIIB, 262.150,   0.000,   0.000, 1.5
16, BMRN,   0.000,   0.000,   0.000, 1.5
17, AVGO,   0.000,   0.000,   0.000, 1.5
18,   CA,  31.040,   0.000,   0.000, 1.5
19, CELG,   0.000,   0.000,   0.000, 1.5
20, CERN,  95.970,   0.000,   0.000, 1.5
21, CHTR,   0.000,   0.000,   0.000, 1.5
22, CHKP,   0.000,   0.000,   0.000, 1.5
23, CTAS,   0.000,   0.000,   0.000, 1.5
24, CSCO,   0.000,   0.000,   0.000, 1.5
25, CTXS,   0.000,   0.000,   0.000, 1.5
26, CTSH,   0.000,   0.000,   0.000, 1.5
27,CMCSA,   0.000,   0.000,   0.000, 1.5
28, COST,   0.000,   0.000,   0.000, 1.5
29,  CSX,   0.000,   0.000,   0.000, 1.5
30, CTRP,  39.980,   7.610,  19.035, 1.5
31, XRAY, 171.930,  21.570,  12.546, 1.5
32,DISCA,  25.110,   0.000,   0.000, 1.5
33,DISCK,  24.390,   0.000,   0.000, 1.5
34, DISH,   0.000,   0.000,   0.000, 1.5
35, DLTR,   0.000,   0.000,   0.000, 1.5
36, EBAY,   0.000,   0.000,   0.000, 1.5
37,   EA,   0.000,   0.000,   0.000, 1.5
38, EXPE,   0.000,   0.000,   0.000, 1.5
39, ESRX, 460.850,   0.000,   0.000, 1.5
40,   FB,   0.000,   0.000,   0.000, 1.5
41, FAST,   0.000,   0.000,   0.000, 1.5
42, FISV,   0.000,   0.000,   0.000, 1.5
