,Ticker,Spent,Profit,Percent,K
0, ATVI,   0.000,   0.000,   0.000, 1.0
1, ADBE,   0.000,   0.000,   0.000, 1.0
2, AKAM,  52.800,   0.000,   0.000, 1.0
3, ALXN, 593.400,  42.020,   7.081, 1.0
4, GOOG,   0.000,   0.000,   0.000, 1.0
5,GOOGL,   0.000,   0.000,   0.000, 1.0
6, AMZN,   0.000,   0.000,   0.000, 1.0
7,  AAL,   0.000,   0.000,   0.000, 1.0
8, AMGN, 146.210,  25.580,  17.495, 1.0
9,  ADI,   0.000,   0.000,   0.000, 1.0
10, AAPL,   0.000,   0.000,   0.000, 1.0
11, AMAT,   0.000,   0.000,   0.000, 1.0
12, ADSK,   0.000,   0.000,   0.000, 1.0
13,  ADP,   0.000,   0.000,   0.000, 1.0
14, BIDU, 163.620,  17.880,  10.928, 1.0
15, BIIB, 811.100,   0.000,   0.000, 1.0
16, BMRN,   0.000,   0.000,   0.000, 1.0
17, AVGO,   0.000,   0.000,   0.000, 1.0
18,   CA,  93.290,   0.000,   0.000, 1.0
19, CELG,   0.000,   0.000,   0.000, 1.0
20, CERN,  98.830,  30.670,  31.033, 1.0
21, CHTR,   0.000,   0.000,   0.000, 1.0
22, CHKP,   0.000,   0.000,   0.000, 1.0
23, CTAS,   0.000,   0.000,   0.000, 1.0
24, CSCO,   0.000,   0.000,   0.000, 1.0
25, CTXS,   0.000,   0.000,   0.000, 1.0
26, CTSH,  52.590,   7.660,  14.566, 1.0
27,CMCSA,   0.000,   0.000,   0.000, 1.0
28, COST,   0.000,   0.000,   0.000, 1.0
29,  CSX,   0.000,   0.000,   0.000, 1.0
30, CTRP,  39.980,   7.080,  17.709, 1.0
31, XRAY, 116.480,   8.880,   7.624, 1.0
32,DISCA,  25.580,   0.000,   0.000, 1.0
33,DISCK,  24.810,   0.000,   0.000, 1.0
34, DISH,   0.000,   0.000,   0.000, 1.0
35, DLTR, 538.610,   0.000,   0.000, 1.0
36, EBAY,   0.000,   0.000,   0.000, 1.0
37,   EA,   0.000,   0.000,   0.000, 1.0
38, EXPE,   0.000,   0.000,   0.000, 1.0
39, ESRX, 206.010,   0.000,   0.000, 1.0
40,   FB,   0.000,   0.000,   0.000, 1.0
41, FAST,   0.000,   0.000,   0.000, 1.0
42, FISV,   0.000,   0.000,   0.000, 1.0
43, GILD, 147.410,   0.000,   0.000, 1.0
44,  HAS,  78.360,   8.400,  10.720, 1.0
45, HSIC, 152.790,  20.740,  13.574, 1.0
46, HOLX,   0.000,   0.000,   0.000, 1.0
47, IDXX,   0.000,   0.000,   0.000, 1.0
48, ILMN, 128.750,  40.050,  31.107, 1.0
49, INCY,   0.000,   0.000,   0.000, 1.0
50, INTC,   0.000,   0.000,   0.000, 1.0
51, INTU,   0.000,   0.000,   0.000, 1.0
52, ISRG,   0.000,   0.000,   0.000, 1.0
53, JBHT,   0.000,   0.000,   0.000, 1.0
54,   JD,   0.000,   0.000,   0.000, 1.0
55, KLAC,   0.000,   0.000,   0.000, 1.0
56, LRCX,   0.000,   0.000,   0.000, 1.0
57,LBTYA,  30.850,   0.000,   0.000, 1.0
58,LBTYK,  30.360,   0.000,   0.000, 1.0
59, LILA, 173.050,   0.000,   0.000, 1.0
60,LILAK, 127.530,   0.000,   0.000, 1.0
61,LVNTA,  37.730,   2.830,   7.501, 1.0
62, QVCA,  59.510,  11.590,  19.476, 1.0
63,  MAR,   0.000,   0.000,   0.000, 1.0
64,  MAT,  84.240,   0.000,   0.000, 1.0
65, MXIM,   0.000,   0.000,   0.000, 1.0
66, MCHP,   0.000,   0.000,   0.000, 1.0
67,   MU,   0.000,   0.000,   0.000, 1.0
68, MSFT,   0.000,   0.000,   0.000, 1.0
69, MDLZ,  42.500,   2.880,   6.776, 1.0
70, MNST,  88.740,   0.000,   0.000, 1.0
