,Ticker,Profit,Percent,K
0, AAPL,  98.470,   9.314, 1.5
1, MSFT,  27.280,  22.016, 1.5
2, GOOG, 293.480,  11.263, 1.5
3, CSCO,  15.920,  16.270, 1.5
4, ORCL,  41.400,  11.435, 1.5
5, INTC,  31.210,  17.658, 1.5
6, QCOM, -63.240,  -4.550, 1.5
7, AMZN, 249.300,  21.329, 1.5
8, EBAY,  39.160,  14.127, 1.5
9, COST,  67.010,  16.089, 1.5
10, NVDA,   0.000,   0.000, 1.5
11, SPLS, -10.690,  -5.189, 1.5
12,  UAL,  68.460,  20.062, 1.5
13, YHOO,  56.500,  17.552, 1.5
