,Ticker,Spent,Profit,Percent,K
0, ATVI,   0.000,   0.000,   0.000, 1.2
1, ADBE,   0.000,   0.000,   0.000, 1.2
2, AKAM,  52.800,   0.000,   0.000, 1.2
3, ALXN,2904.420,   0.000,   0.000, 1.2
4, GOOG,   0.000,   0.000,   0.000, 1.2
5,GOOGL, 685.200, 106.140,  15.490, 1.2
6, AMZN,   0.000,   0.000,   0.000, 1.2
7,  AAL,  76.570,   6.410,   8.371, 1.2
8, AMGN, 723.630, 115.660,  15.983, 1.2
9,  ADI,  52.550,   8.140,  15.490, 1.2
10, AAPL, 286.550,  48.760,  17.016, 1.2
11, AMAT,   0.000,   0.000,   0.000, 1.2
12, ADSK,   0.000,   0.000,   0.000, 1.2
13,  ADP,   0.000,   0.000,   0.000, 1.2
14, BIDU, 161.670,  22.320,  13.806, 1.2
15, BIIB,1020.710, 155.990,  15.282, 1.2
16, BMRN, 238.650,  49.560,  20.767, 1.2
17, AVGO,   0.000,   0.000,   0.000, 1.2
18,   CA,  31.210,   0.000,   0.000, 1.2
19, CELG, 893.360, 159.760,  17.883, 1.2
20, CERN, 159.530,  29.300,  18.366, 1.2
21, CHKP, 385.930,  43.570,  11.290, 1.2
22, CTAS,   0.000,   0.000,   0.000, 1.2
23, CSCO,   0.000,   0.000,   0.000, 1.2
24, CTXS,   0.000,   0.000,   0.000, 1.2
25, CTSH, 382.470,  35.430,   9.263, 1.2
26,CMCSA,   0.000,   0.000,   0.000, 1.2
27, COST, 285.740,  41.420,  14.496, 1.2
28,  CSX,   0.000,   0.000,   0.000, 1.2
29, CTRP,  41.000,   6.060,  14.780, 1.2
30, XRAY, 290.530,  27.070,   9.317, 1.2
31,DISCA, 251.410,  29.320,  11.662, 1.2
32,DISCK, 169.830,  18.900,  11.129, 1.2
33, DISH, 141.010,  23.780,  16.864, 1.2
34, DLTR, 598.050,   0.000,   0.000, 1.2
35, EBAY,  69.410,  20.380,  29.362, 1.2
36,   EA, 124.400,  22.360,  17.974, 1.2
37, EXPE, 309.380,  47.980,  15.508, 1.2
38, ESRX, 672.710,  28.810,   4.283, 1.2
39,   FB,   0.000,   0.000,   0.000, 1.2
40, FAST, 160.150,  29.450,  18.389, 1.2
41, FISV,   0.000,   0.000,   0.000, 1.2
42, GILD,1326.370,   0.000,   0.000, 1.2
43,  HAS,  78.720,   8.040,  10.213, 1.2
44, HSIC, 618.880,  77.840,  12.578, 1.2
45, HOLX, 238.690,  34.170,  14.316, 1.2
46, IDXX,   0.000,   0.000,   0.000, 1.2
47, ILMN,1919.470, 575.470,  29.981, 1.2
48, INCY, 362.600, 108.850,  30.019, 1.2
49, INTC,   0.000,   0.000,   0.000, 1.2
50, INTU,   0.000,   0.000,   0.000, 1.2
51, ISRG,   0.000,   0.000,   0.000, 1.2
52, JBHT,   0.000,   0.000,   0.000, 1.2
53,   JD, 115.260,  23.490,  20.380, 1.2
54, KLAC,   0.000,   0.000,   0.000, 1.2
55, LRCX,   0.000,   0.000,   0.000, 1.2
56,LBTYA, 387.260,  46.410,  11.984, 1.2
57,LBTYK, 284.820,  27.570,   9.680, 1.2
58, LILA, 218.340,   0.000,   0.000, 1.2
59,LILAK, 155.930,   0.000,   0.000, 1.2
60, QVCA, 158.520,   7.380,   4.656, 1.2
61,  MAR,  61.210,  11.670,  19.066, 1.2
62,  MAT, 146.460,   0.000,   0.000, 1.2
63, MXIM,   0.000,   0.000,   0.000, 1.2
