,Ticker,Spent,Profit,Percent,K
0, ATVI,  71.144,  11.136,  15.653, 1.2
1, ADBE,   0.000,   0.000,   0.000, 1.2
2, AKAM, 110.408,   0.844,   0.765, 1.2
3, ALXN, 278.205, -20.617,  -7.411, 1.2
4, GOOG, 711.164,  72.056,  10.132, 1.2
5,GOOGL, 731.109,  70.081,   9.586, 1.2
6, AMZN, 558.055,  72.945,  13.071, 1.2
7,  AAL,  39.886,  -1.236,  -3.100, 1.2
8, AMGN, 307.338,  21.082,   6.860, 1.2
9,  ADI,  52.271,   7.369,  14.097, 1.2
10, AAPL,  98.348,   9.382,   9.540, 1.2
11, AMAT,   0.000,   0.000,   0.000, 1.2
12, ADSK,  51.127,   7.293,  14.264, 1.2
13,  ADP, 170.636,  15.024,   8.805, 1.2
14, BIDU, 515.645,  55.215,  10.708, 1.2
15, BIIB, 554.090,  49.657,   8.962, 1.2
16, BMRN, 170.404,  14.086,   8.266, 1.2
17, AVGO, 132.551,  26.929,  20.316, 1.2
18,   CA,  60.202,   2.924,   4.857, 1.2
19, CELG, 104.558,   9.452,   9.040, 1.2
20, CERN, 112.713,   8.977,   7.965, 1.2
21, CHKP, 161.927,   9.483,   5.856, 1.2
22, CTAS,  85.124,   4.336,   5.093, 1.2
23, CSCO,  25.179,   2.721,  10.808, 1.2
24, CTXS,  34.796,   5.604,  16.105, 1.2
25, CTSH,  57.795,   1.705,   2.950, 1.2
26,CMCSA,  28.338,   2.642,   9.322, 1.2
27, COST, 305.679,  25.181,   8.238, 1.2
28,  CSX,  23.906,   2.874,  12.021, 1.2
29, CTRP,  43.962,   3.548,   8.071, 1.2
30, XRAY,  60.585,   2.355,   3.887, 1.2
31,DISCA,  54.037,   2.913,   5.391, 1.2
32,DISCK,  52.173,   1.767,   3.387, 1.2
33, DISH,  48.592,   3.198,   6.582, 1.2
34, DLTR,  84.050,   0.000,   0.000, 1.2
35, EBAY,  24.617,   6.333,  25.724, 1.2
36,   EA,  63.700,  13.050,  20.486, 1.2
37, EXPE, 106.412,   4.948,   4.650, 1.2
38, ESRX, 147.725,   2.844,   1.925, 1.2
39,   FB, 120.318,  10.002,   8.313, 1.2
40, FAST,  43.478,   4.852,  11.159, 1.2
41, FISV, 101.099,   5.181,   5.124, 1.2
42, GILD,  90.361,   0.000,   0.000, 1.2
43,  HAS, 153.253,  11.487,   7.495, 1.2
44, HSIC, 166.285,   4.965,   2.986, 1.2
45, HOLX,  35.135,   3.245,   9.235, 1.2
46, IDXX,   0.000,   0.000,   0.000, 1.2
47, ILMN, 312.337,  24.663,   7.896, 1.2
48, INCY,  77.677,   6.073,   7.818, 1.2
49, INTC,  97.668,   3.508,   3.592, 1.2
50, INTU,  95.269,   8.741,   9.176, 1.2
51, ISRG, 655.357,  79.993,  12.206, 1.2
52, JBHT, 153.727,  21.983,  14.300, 1.2
53,   JD,  26.328,   1.072,   4.070, 1.2
54, KLAC,  70.339,   4.771,   6.783, 1.2
55, LRCX,  71.225,   9.995,  14.033, 1.2
56,LBTYA,  35.908,  -0.398,  -1.108, 1.2
57,LBTYK,  34.799,  -0.009,  -0.025, 1.2
