,Ticker,Spent,Profit,Percent,K
0, ATVI,   0.000,   0.000,   0.000, 1.2
1, ADBE,   0.000,   0.000,   0.000, 1.2
2, AKAM,  52.800,   0.000,   0.000, 1.2
3, ALXN, 707.020,   0.000,   0.000, 1.2
4, GOOG,   0.000,   0.000,   0.000, 1.2
5,GOOGL,   0.000,   0.000,   0.000, 1.2
6, AMZN,   0.000,   0.000,   0.000, 1.2
7,  AAL,   0.000,   0.000,   0.000, 1.2
8, AMGN,   0.000,   0.000,   0.000, 1.2
9,  ADI,   0.000,   0.000,   0.000, 1.2
10, AAPL,   0.000,   0.000,   0.000, 1.2
11, AMAT,   0.000,   0.000,   0.000, 1.2
12, ADSK,   0.000,   0.000,   0.000, 1.2
13,  ADP,   0.000,   0.000,   0.000, 1.2
14, BIDU,   0.000,   0.000,   0.000, 1.2
15, BIIB, 271.210,   0.000,   0.000, 1.2
16, BMRN,   0.000,   0.000,   0.000, 1.2
17, AVGO,   0.000,   0.000,   0.000, 1.2
18,   CA,  31.210,   0.000,   0.000, 1.2
19, CELG,   0.000,   0.000,   0.000, 1.2
20, CERN,  49.400,  15.350,  31.073, 1.2
21, CHKP,   0.000,   0.000,   0.000, 1.2
22, CTAS,   0.000,   0.000,   0.000, 1.2
23, CSCO,   0.000,   0.000,   0.000, 1.2
24, CTXS,   0.000,   0.000,   0.000, 1.2
25, CTSH,  52.590,   7.110,  13.520, 1.2
26,CMCSA,   0.000,   0.000,   0.000, 1.2
27, COST,   0.000,   0.000,   0.000, 1.2
28,  CSX,   0.000,   0.000,   0.000, 1.2
29, CTRP,  40.490,   6.570,  16.226, 1.2
30, XRAY,  58.330,   5.190,   8.898, 1.2
31,DISCA,  51.210,   0.000,   0.000, 1.2
32,DISCK,  49.680,   0.000,   0.000, 1.2
33, DISH,   0.000,   0.000,   0.000, 1.2
34, DLTR, 373.600,   0.000,   0.000, 1.2
35, EBAY,   0.000,   0.000,   0.000, 1.2
36,   EA,   0.000,   0.000,   0.000, 1.2
37, EXPE,   0.000,   0.000,   0.000, 1.2
38, ESRX, 263.480,   0.000,   0.000, 1.2
39,   FB,   0.000,   0.000,   0.000, 1.2
40, FAST,   0.000,   0.000,   0.000, 1.2
41, FISV,   0.000,   0.000,   0.000, 1.2
42, GILD, 273.750,   0.000,   0.000, 1.2
43,  HAS,   0.000,   0.000,   0.000, 1.2
44, HSIC,   0.000,   0.000,   0.000, 1.2
45, HOLX,   0.000,   0.000,   0.000, 1.2
46, IDXX,   0.000,   0.000,   0.000, 1.2
47, ILMN,   0.000,   0.000,   0.000, 1.2
48, INCY,   0.000,   0.000,   0.000, 1.2
49, INTC,   0.000,   0.000,   0.000, 1.2
50, INTU,   0.000,   0.000,   0.000, 1.2
51, ISRG,   0.000,   0.000,   0.000, 1.2
52, JBHT,   0.000,   0.000,   0.000, 1.2
53,   JD,   0.000,   0.000,   0.000, 1.2
54, KLAC,   0.000,   0.000,   0.000, 1.2
55, LRCX,   0.000,   0.000,   0.000, 1.2
56,LBTYA,  61.380,   0.000,   0.000, 1.2
57,LBTYK,  59.260,   0.000,   0.000, 1.2
58, LILA, 109.260,   0.000,   0.000, 1.2
59,LILAK,  42.480,   0.000,   0.000, 1.2
60, QVCA,  18.850,   4.850,  25.729, 1.2
61,  MAR,   0.000,   0.000,   0.000, 1.2
62,  MAT,  83.980,   0.000,   0.000, 1.2
63, MXIM,   0.000,   0.000,   0.000, 1.2
