,Ticker,Spent,Profit,Percent,K
0, ATVI,  39.152,   7.918,  20.224, 1.2
1, ADBE,   0.000,   0.000,   0.000, 1.2
2, AKAM,  60.743,   0.000,   0.000, 1.2
3, ALXN, 255.316,   2.272,   0.890, 1.2
4, GOOG, 725.566,  57.654,   7.946, 1.2
5,GOOGL, 741.554,  59.636,   8.042, 1.2
6, AMZN,   0.000,   0.000,   0.000, 1.2
7,  AAL,  32.295,   6.355,  19.676, 1.2
8, AMGN, 157.861,  20.379,  12.910, 1.2
9,  ADI,   0.000,   0.000,   0.000, 1.2
10, AAPL,  99.033,   8.697,   8.781, 1.2
11, AMAT,   0.000,   0.000,   0.000, 1.2
12, ADSK,   0.000,   0.000,   0.000, 1.2
13,  ADP,  88.009,   8.641,   9.818, 1.2
14, BIDU, 338.853,  36.287,  10.709, 1.2
15, BIIB, 551.414,  52.332,   9.491, 1.2
16, BMRN, 176.235,   8.255,   4.684, 1.2
17, AVGO,   0.000,   0.000,   0.000, 1.2
18,   CA,  32.016,   0.000,   0.000, 1.2
19, CELG, 105.023,   8.987,   8.557, 1.2
20, CERN,  57.552,   1.898,   3.298, 1.2
21, CHKP,  80.721,   3.919,   4.855, 1.2
22, CTAS,   0.000,   0.000,   0.000, 1.2
23, CSCO,   0.000,   0.000,   0.000, 1.2
24, CTXS,   0.000,   0.000,   0.000, 1.2
25, CTSH,  58.850,   0.650,   1.105, 1.2
26,CMCSA,   0.000,   0.000,   0.000, 1.2
27, COST, 154.266,   9.544,   6.186, 1.2
28,  CSX,   0.000,   0.000,   0.000, 1.2
29, CTRP,  43.962,   3.548,   8.071, 1.2
30, XRAY,  60.585,   2.355,   3.887, 1.2
31,DISCA,  25.843,   2.957,  11.441, 1.2
32,DISCK,  24.841,   1.599,   6.438, 1.2
33, DISH,   0.000,   0.000,   0.000, 1.2
34, DLTR,  84.050,   0.000,   0.000, 1.2
35, EBAY,   0.000,   0.000,   0.000, 1.2
36,   EA,   0.000,   0.000,   0.000, 1.2
37, EXPE, 110.670,   0.690,   0.623, 1.2
38, ESRX, 150.885,  -0.317,  -0.210, 1.2
39,   FB, 120.318,  10.002,   8.313, 1.2
40, FAST,  43.478,   4.852,  11.159, 1.2
41, FISV, 101.099,   5.181,   5.124, 1.2
42, GILD,  83.736,   0.000,   0.000, 1.2
43,  HAS,  80.220,   6.400,   7.978, 1.2
44, HSIC, 166.285,   4.965,   2.986, 1.2
45, HOLX,  35.717,   2.663,   7.456, 1.2
46, IDXX,   0.000,   0.000,   0.000, 1.2
47, ILMN, 301.274,  35.726,  11.858, 1.2
48, INCY,  83.528,   0.222,   0.266, 1.2
49, INTC,  35.796,   0.000,   0.000, 1.2
50, INTU,   0.000,   0.000,   0.000, 1.2
51, ISRG, 655.357,  79.993,  12.206, 1.2
52, JBHT, 170.168,  11.113,   6.531, 1.2
53,   JD,  21.619,   5.781,  26.738, 1.2
54, KLAC,  70.339,   4.771,   6.783, 1.2
55, LRCX,   0.000,   0.000,   0.000, 1.2
56,LBTYA,  32.415,   3.095,   9.548, 1.2
57,LBTYK,  31.589,   3.201,  10.132, 1.2
58, LILA,  34.784,   0.000,   0.000, 1.2
59,LILAK,  35.310,   0.000,   0.000, 1.2
60, QVCA,  25.521,  -1.821,  -7.135, 1.2
61,  MAR,   0.000,   0.000,   0.000, 1.2
62,  MAT,  31.736,   0.000,   0.000, 1.2
63, MXIM,   0.000,   0.000,   0.000, 1.2
64, MCHP,   0.000,   0.000,   0.000, 1.2
65,   MU,   0.000,   0.000,   0.000, 1.2
66, MSFT,   0.000,   0.000,   0.000, 1.2
67, MDLZ,  43.037,   1.163,   2.702, 1.2
68, MNST,  48.098,   2.662,   5.535, 1.2
69,  MYL,  85.467,  -6.598,  -7.720, 1.2
70, NTES,   0.000,   0.000,   0.000, 1.2
71, NFLX,  93.847,   9.483,  10.104, 1.2
72, NCLH,  42.358,   3.262,   7.701, 1.2
73, NVDA,   0.000,   0.000,   0.000, 1.2
74, ORLY, 545.398,   9.100,   1.669, 1.2
75, PCAR,   0.000,   0.000,   0.000, 1.2
76, PAYX,  59.062,   0.000,   0.000, 1.2
77, PYPL,   0.000,   0.000,   0.000, 1.2
78, QCOM,  60.917,   0.000,   0.000, 1.2
79, REGN, 775.740,  71.050,   9.159, 1.2
80, ROST,  64.960,   0.000,   0.000, 1.2
81,  STX,  26.851,   7.069,  26.327, 1.2
82, SHPG, 182.561,   0.000,   0.000, 1.2
83, SIRI,   0.000,   0.000,   0.000, 1.2
84, SWKS,  65.273,  10.817,  16.572, 1.2
85, SBUX,  56.230,   0.900,   1.600, 1.2
86, SYMC,   0.000,   0.000,   0.000, 1.2
87, TMUS,   0.000,   0.000,   0.000, 1.2
88, TSLA, 214.415,  37.515,  17.497, 1.2
89,  TXN,   0.000,   0.000,   0.000, 1.2
90,  KHC,  84.953,   4.827,   5.682, 1.2
91, PCLN,   0.000,   0.000,   0.000, 1.2
92, TSCO,  88.980,   0.000,   0.000, 1.2
93,  FOX,  27.973,   0.367,   1.312, 1.2
94, FOXA,  27.666,   0.874,   3.159, 1.2
95, ULTA,   0.000,   0.000,   0.000, 1.2
96, VRSK,  82.056,   0.000,   0.000, 1.2
